Day,City,Temperature (C),Wind Speed (km/h),Event
2025-06-22,Delhi,23,5,Stormy
2025-06-23,Delhi,32,13,Sunny
2025-06-24,Delhi,34,7,Sunny
2025-06-25,Delhi,33,20,Cloudy
2025-06-26,Delhi,30,17,Rainy
2025-06-27,Delhi,33,19,Rainy
2025-06-28,Delhi,28,9,Cloudy
2025-06-29,Delhi,35,20,Windy
2025-06-30,Delhi,32,20,Windy
2025-07-01,Delhi,23,19,Sunny
2025-07-02,Delhi,25,14,Stormy
2025-07-03,Delhi,33,10,Rainy
2025-07-04,Delhi,28,10,Stormy
2025-07-05,Delhi,23,7,Stormy
2025-07-06,Delhi,27,18,Sunny
2025-06-22,Mumbai,26,15,Cloudy
2025-06-23,Mumbai,29,17,Sunny
2025-06-24,Mumbai,30,17,Windy
2025-06-25,Mumbai,27,14,Stormy
2025-06-26,Mumbai,29,17,Cloudy
2025-06-27,Mumbai,33,7,Sunny
2025-06-28,Mumbai,32,6,Rainy
2025-06-29,Mumbai,34,20,Cloudy
2025-06-30,Mumbai,31,7,Cloudy
2025-07-01,Mumbai,23,17,Rainy
2025-07-02,Mumbai,30,7,Cloudy
2025-07-03,Mumbai,23,12,Sunny
2025-07-04,Mumbai,20,9,Cloudy
2025-07-05,Mumbai,25,19,Stormy
2025-07-06,Mumbai,24,10,Windy
2025-06-22,Bangalore,35,10,Stormy
2025-06-23,Bangalore,25,11,Sunny
2025-06-24,Bangalore,23,15,Rainy
2025-06-25,Bangalore,29,10,Rainy
2025-06-26,Bangalore,28,12,Stormy
2025-06-27,Bangalore,26,12,Cloudy
2025-06-28,Bangalore,35,8,Sunny
2025-06-29,Bangalore,30,13,Windy
2025-06-30,Bangalore,35,17,Rainy
2025-07-01,Bangalore,34,11,Windy
2025-07-02,Bangalore,23,20,Sunny
2025-07-03,Bangalore,23,7,Rainy
2025-07-04,Bangalore,27,18,Stormy
2025-07-05,Bangalore,32,16,Sunny
2025-07-06,Bangalore,25,16,Cloudy
